Unnamed: 0,match_id,player,batting_team,runs,balls_faced,fours,sixes,is_dismissed,dismissal_kind,inning,strike_rate,balls_bowled,runs_conceded,dot_balls,wickets,overs,economy,maidens,catches,run_outs,direct_run_out,stadium,pitch_type,grass_cover,moisture,dew_prediction,bounce_and_carry,fantasy_points,matchYear,matchMonth,matchDay,matchDayOfWeek,matchDayOfYear
21,1216493,A Nortje,Delhi Capitals,3.0,1.0,0.0,0.0,0.0,0,1.0,300.0,24.0,33.0,11.0,0.0,4.0,8.25,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,14.0,2020,9,20,6,264
29,1216493,MA Agarwal,Kings XI Punjab,89.0,61.0,7.0,4.0,1.0,caught,2.0,145.9016393442623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,171.0,2020,9,20,6,264
24,1216493,GJ Maxwell,Kings XI Punjab,1.0,4.0,0.0,0.0,1.0,caught,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,1.0,2020,9,20,6,264
30,1216493,MM Sharma,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,44.0,8.0,1.0,4.0,11.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,34.0,2020,9,20,6,264
37,1216493,Ravi Bishnoi,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,21.0,10.0,1.0,4.0,5.25,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,44.0,2020,9,20,6,264
32,1216493,Mohammed Shami,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,29.0,15.0,19.0,4.0,4.0,3.75,0.0,1.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,165.0,2020,9,20,6,264
42,1216493,SS Iyer,Delhi Capitals,39.0,33.0,0.0,3.0,1.0,caught,1.0,118.1818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,65.0,2020,9,20,6,264
41,1216493,SS Cottrell,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,23.0,14.0,2.0,4.0,5.75,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,78.0,2020,9,20,6,264
40,1216493,SO Hetmyer,Delhi Capitals,7.0,13.0,1.0,0.0,1.0,caught,1.0,53.84615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,15.0,2020,9,20,6,264
39,1216493,SN Khan,Kings XI Punjab,12.0,12.0,2.0,0.0,1.0,caught,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,20.0,2020,9,20,6,264
