match_id,date,bowler,wickets,runs_given,overs_bowled
1216515,2020-10-03,A Nortje,3,33,4
1216515,2020-10-03,AD Russell,2,29,4
1216515,2020-10-03,CV Varun,1,49,4
1216515,2020-10-03,HV Patel,2,30,4
1216515,2020-10-03,K Rabada,1,51,4
1216515,2020-10-03,KL Nagarkoti,1,33,3
1216515,2020-10-03,MP Stoinis,1,45,4
1216515,2020-10-03,PJ Cummins,0,49,4
1216515,2020-10-03,R Ashwin,0,25,2
1216515,2020-10-03,SP Narine,0,26,2
1216515,2020-10-03,Shivam Mavi,0,40,3
1216516,2020-10-02,Abdul Samad,1,36,4
1216516,2020-10-02,Abhishek Sharma,0,4,1
1216516,2020-10-02,B Kumar,1,20,4
1216516,2020-10-02,DJ Bravo,0,26,4
1216516,2020-10-02,DL Chahar,2,29,4
1216516,2020-10-02,KK Ahmed,0,32,4
1216516,2020-10-02,PP Chawla,2,20,3
1216516,2020-10-02,RA Jadeja,0,16,2
1216516,2020-10-02,Rashid Khan,0,12,4
1216516,2020-10-02,SM Curran,0,35,3
1216516,2020-10-02,SN Thakur,1,30,4
1216516,2020-10-02,T Natarajan,3,42,4
1216517,2020-10-18,Arshdeep Singh,2,34,3
1216517,2020-10-18,CJ Jordan,2,41,4
1216517,2020-10-18,DJ Hooda,0,9,1
1216517,2020-10-18,GJ Maxwell,0,24,4
1216517,2020-10-18,JJ Bumrah,5,28,5
1216517,2020-10-18,KA Pollard,0,24,2
1216517,2020-10-18,KH Pandya,0,12,2
1216517,2020-10-18,M Ashwin,0,28,3
1216517,2020-10-18,Mohammed Shami,3,35,5
1216517,2020-10-18,NM Coulter-Nile,0,33,4
1216517,2020-10-18,RD Chahar,2,33,4
1216517,2020-10-18,Ravi Bishnoi,1,12,2
1216517,2020-10-18,TA Boult,1,62,4
1216518,2020-10-22,AS Rajpoot,0,10,1
1216518,2020-10-22,BA Stokes,0,22,2
1216518,2020-10-22,JC Archer,2,20,4
1216518,2020-10-22,JO Holder,4,31,4
1216518,2020-10-22,Kartik Tyagi,0,40,4
1216518,2020-10-22,R Tewatia,0,25,4
1216518,2020-10-22,Rashid Khan,1,20,4
1216518,2020-10-22,S Gopal,0,32,4
1216518,2020-10-22,S Nadeem,0,9,1
1216518,2020-10-22,Sandeep Sharma,0,31,4
1216518,2020-10-22,T Natarajan,0,45,4
1216518,2020-10-22,V Shankar,1,15,3
1216519,2020-10-05,A Nortje,2,21,4
1216519,2020-10-05,AR Patel,2,18,4
1216519,2020-10-05,HV Patel,0,40,4
1216519,2020-10-05,I Udana,1,39,4
1216519,2020-10-05,K Rabada,4,22,4
1216519,2020-10-05,MM Ali,1,19,2
1216519,2020-10-05,Mohammed Siraj,2,32,4
1216519,2020-10-05,Navdeep Saini,0,47,3
1216519,2020-10-05,R Ashwin,1,25,4
1216519,2020-10-05,Washington Sundar,0,20,4
1216519,2020-10-05,YS Chahal,0,29,3
1216520,2020-10-26,Arshdeep Singh,0,17,2
1216520,2020-10-26,CJ Jordan,2,23,4
